iter	RMSE
0	1.407396508
1	1.36054237
2	1.316632018
3	1.275802529
4	1.237523902
5	1.201295749
6	1.166324837
7	1.133505466
8	1.103094571
9	1.074706436
10	1.047970347
11	1.022697135
12	0.9993339882
13	0.9766291176
14	0.9560528544
15	0.9364930275
16	0.9184630415
17	0.9007904702
18	0.8848648137
19	0.8694523691
20	0.8551701805
21	0.8418006457
22	0.8299638613
23	0.8182282354
24	0.8073076563
25	0.7967539864
26	0.7874367859
27	0.7790266732
28	0.7706467703
29	0.7622424434
30	0.7548020844
31	0.7469515765
32	0.7405313536
33	0.7344412917
34	0.7287912118
35	0.7229710461
36	0.7179394263
37	0.7132074005
38	0.7080539369
39	0.7037710436
40	0.6996666258
41	0.6953069482
42	0.6909123242
43	0.6875363311
44	0.6839504598
45	0.6805017926
46	0.6775493023
47	0.6739747686
48	0.6713280765
49	0.668472385
50	0.6661608518
51	0.6636814835
52	0.6608012177
53	0.658547547
54	0.656347433
55	0.6539755298
56	0.6520777232
57	0.650081838
58	0.64769315
59	0.6458264171
60	0.6436761542
61	0.6415108601
62	0.639497342
63	0.6377607585
64	0.6356056582
65	0.6341655552
66	0.6315217587
67	0.6302026347
68	0.6288397586
69	0.6272598014
70	0.6257253836
71	0.6237844647
72	0.6224406843
73	0.6208625314
74	0.6195633962
75	0.6185043865
76	0.6154144531
77	0.6137123606
78	0.6124586302
79	0.6109097879
80	0.6096425731
81	0.6085943873
82	0.606597805
83	0.6052329955
84	0.6042495275
85	0.6020839176
86	0.6008967993
87	0.5998916199
88	0.5990245307
89	0.5978005917
90	0.5970340121
91	0.5961649781
92	0.5950590556
93	0.593135781
94	0.5923520015
95	0.5912210604
96	0.5890311185
97	0.5879807228
98	0.5872660949
99	0.586595688
100	0.5851068239
101	0.5842183465
102	0.5833385247
103	0.5825893766
104	0.5820976746
105	0.5808004813
106	0.5782155457
107	0.5771536361
108	0.5762925791
109	0.574894935
110	0.5739862735
111	0.5733240657
112	0.5726483045
113	0.571217078
114	0.5690551754
115	0.5683356842
116	0.5670484793
117	0.5662715285
118	0.5653897739
119	0.5632767076
120	0.5612675433
121	0.5603987962
122	0.5597037242
123	0.5591843415
124	0.5578208207
125	0.5569937184
126	0.5561434338
127	0.555707233
128	0.5549684207
129	0.5543185935
130	0.5531806653
131	0.5513094359
132	0.5504656637
133	0.5499367257
134	0.5488768685
135	0.5477953482
136	0.5468479007
137	0.546141962
138	0.5453996833
139	0.5447964071
140	0.5429424418
141	0.5423689451
142	0.5416374154
143	0.5410612761
144	0.5401667466
145	0.5398410719
146	0.5394384244
147	0.5382356457
148	0.5377653676
149	0.5366243445
150	0.5357343074
151	0.5349828459
152	0.5342016882
153	0.5334273421
154	0.5317771616
155	0.5312324742
156	0.5304369321
157	0.5290517887
158	0.5278117796
159	0.5270352477
160	0.5261946928
161	0.5254681086
162	0.5249979803
163	0.5245670355
164	0.5240864461
165	0.5228346141
166	0.5218285957
167	0.5211765263
168	0.5204451913
169	0.5195791329
170	0.5190465315
171	0.5183030777
172	0.5177567523
173	0.5168647222
174	0.5163848694
175	0.5154681992
176	0.5145965829
177	0.5140615993
178	0.5134264871
179	0.5129124595
180	0.5119672309
181	0.5113638078
182	0.510789611
183	0.5103124999
184	0.5097827455
185	0.5093168644
186	0.5089469879
187	0.5077169025
188	0.5069032277
189	0.5063184624
190	0.5055973231
191	0.5051357208
192	0.504401268
193	0.50400556
194	0.5032077698
195	0.5027780732
196	0.5020166388
197	0.5010326742
198	0.4997432511
199	0.4993626901
200	0.4988525768
201	0.4982306753
202	0.4976890376
203	0.4969360005
204	0.4963217627
205	0.4959543797
206	0.4949769436
207	0.4942756984
208	0.4939400327
209	0.4933685519
210	0.4929335
211	0.4921338358
212	0.49073084
213	0.4902757486
214	0.4894660289
215	0.4888493274
216	0.4885727701
217	0.4881771276
218	0.4877142515
219	0.4869336275
220	0.4865598247
221	0.4857705862
222	0.4854454038
223	0.4848029511
224	0.4841586725
225	0.4837415625
226	0.4833015577
227	0.4828825973
228	0.4825337543
229	0.4819886561
230	0.4813814097
231	0.480915989
232	0.4805808789
233	0.4799065599
234	0.4795780542
235	0.4791893384
236	0.4787047627
237	0.4777741442
238	0.4772797159
239	0.476774962
240	0.4764070529
