iter	Passed	Remaining
0	75	75400
1	137	68726
2	192	63982
3	259	64608
4	325	64759
5	392	65037
6	503	71403
7	574	71250
8	641	70586
9	706	69992
10	770	69239
11	831	68451
12	888	67467
13	944	66498
14	1003	65885
15	1062	65374
16	1112	64346
17	1166	63645
18	1219	62968
19	1279	62671
20	1344	62657
21	1402	62354
22	1463	62171
23	1527	62132
24	1593	62161
25	1650	61813
26	1709	61607
27	1766	61321
28	1831	61321
29	1893	61216
30	1953	61058
31	2012	60888
32	2071	60706
33	2129	60495
34	2176	60008
35	2230	59720
36	2288	59561
37	2345	59372
38	2398	59096
39	2448	58759
40	2503	58556
41	2554	58269
42	2604	57962
43	2649	57572
44	2697	57252
45	2748	57002
46	2803	56844
47	2861	56757
48	2909	56470
49	2961	56265
50	3011	56038
51	3067	55931
52	3126	55866
53	3177	55672
54	3226	55434
55	3283	55347
56	3332	55125
57	3382	54941
58	3442	54903
59	3492	54719
60	3543	54540
61	3607	54575
62	3658	54418
63	3707	54218
64	3758	54064
65	3799	53763
66	3850	53623
67	3896	53401
68	3942	53200
69	3992	53045
70	4054	53054
71	4115	53049
72	4164	52881
73	4213	52721
74	4269	52657
75	4313	52448
76	4366	52339
77	4424	52304
78	4471	52129
79	4519	51969
80	4562	51763
81	4605	51555
82	4657	51458
83	4710	51369
84	4752	51154
85	4798	50994
86	4850	50903
87	4893	50716
88	4932	50489
89	4989	50453
90	5045	50404
91	5108	50419
92	5171	50432
93	5236	50472
94	5296	50458
95	5367	50543
96	5470	50929
97	5539	50985
98	5591	50892
99	5633	50702
100	5685	50606
101	5732	50472
102	5769	50247
103	5812	50076
104	5849	49861
105	5903	49789
106	5950	49658
107	6003	49581
108	6064	49570
109	6124	49550
110	6184	49532
111	6233	49422
112	6274	49254
113	6325	49161
114	6414	49362
115	6457	49208
116	6516	49179
117	6566	49078
118	6624	49043
119	6676	48961
120	6736	48934
121	6791	48879
122	6846	48814
123	6902	48761
124	6970	48791
125	7031	48771
126	7076	48644
127	7116	48482
128	7167	48394
129	7227	48369
130	7292	48374
131	7401	48667
132	7446	48544
133	7489	48401
134	7548	48368
135	7601	48293
136	7659	48249
137	7713	48179
138	7769	48129
139	7829	48092
140	7893	48088
141	7938	47965
142	7992	47901
143	8049	47849
144	8108	47814
145	8155	47705
146	8205	47615
147	8256	47528
148	8299	47401
149	8345	47293
150	8396	47209
151	8442	47100
152	8490	47001
153	8534	46886
154	8588	46820
155	8639	46739
156	8696	46694
157	8767	46720
158	8816	46633
159	8860	46518
160	8935	46562
161	8991	46509
162	9045	46449
163	9105	46415
164	9158	46347
165	9222	46334
166	9273	46255
167	9320	46157
168	9369	46073
169	9414	45965
170	9496	46038
171	9549	45970
172	9597	45878
173	9655	45833
174	9700	45731
175	9755	45672
176	9812	45626
177	9856	45516
178	9917	45488
179	9966	45402
180	10015	45316
181	10065	45238
182	10115	45162
183	10168	45093
184	10210	44981
185	10254	44876
186	10299	44777
187	10355	44728
188	10409	44669
189	10459	44591
190	10503	44488
191	10553	44413
192	10607	44353
193	10651	44253
194	10696	44157
195	10743	44069
196	10794	43999
197	10844	43923
198	10892	43843
199	10932	43729
200	10978	43641
201	11029	43573
202	11082	43512
203	11141	43475
204	11192	43404
205	11236	43309
206	11287	43241
207	11331	43148
208	11378	43065
209	11430	43001
210	11473	42902
211	11529	42855
212	11587	42814
213	11637	42744
214	11692	42690
215	11742	42620
216	11783	42517
217	11842	42482
218	11893	42414
219	11957	42393
220	12002	42308
221	12059	42262
222	12108	42190
223	12164	42142
224	12220	42094
225	12263	41999
226	12312	41928
227	12364	41865
228	12405	41767
229	12461	41720
230	12517	41669
231	12562	41586
232	12612	41519
233	12660	41444
234	12712	41381
235	12752	41282
236	12796	41195
237	12849	41139
238	12898	41070
239	12945	40994
240	12992	40917
